"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2 Constant Growback_edit.nlogo"
"metab_vision_pop"
"02/13/2024 13:20:22:133 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","initial-population","max-metabolism","max-vision","[step]","count turtles","survival-rate","last-death","gini-index","mean [vision] of turtles","mean [metabolism] of turtles"
"45","500","10","2","165","103","0.206","63","0.39259682149654596","1.6504854368932038","1.912621359223301"
"38","800","8","2","391","187","0.23375","289","0.3977494622985841","1.4866310160427807","1.7433155080213905"
"39","900","8","2","420","204","0.22666666666666666","318","0.36960080991070754","1.5294117647058822","1.7549019607843137"
"43","300","10","2","222","64","0.21333333333333335","120","0.3658354946624568","1.390625","1.90625"
"40","1000","8","2","407","244","0.244","305","0.3519801409417208","1.5450819672131149","1.6270491803278688"
"47","700","10","2","173","150","0.21428571428571427","71","0.35890246541920007","1.58","1.7933333333333332"
"46","600","10","2","258","129","0.215","156","0.3570158397980469","1.5193798449612403","1.8294573643410852"
"10","1000","2","2","946","708","0.708","844","0.46623648018725405","1.5663841807909604","1.384180790960452"
"52","200","2","4","125","167","0.835","23","0.26693594217023575","2.62874251497006","1.4790419161676647"
"48","800","10","2","311","169","0.21125","209","0.37911288050245867","1.5384615384615385","1.816568047337278"
"53","300","2","4","125","260","0.8666666666666667","23","0.2756868516844801","2.673076923076923","1.4730769230769232"
"51","100","2","4","126","84","0.84","24","0.25044211792169196","2.6785714285714284","1.4523809523809523"
"54","400","2","4","126","331","0.8275","24","0.31214507211749737","2.5558912386706947","1.486404833836858"
"49","900","10","2","349","167","0.18555555555555556","247","0.4052828620379633","1.5089820359281436","1.7365269461077844"
"50","1000","10","2","331","193","0.193","229","0.36452649738791065","1.5595854922279793","1.761658031088083"
"55","500","2","4","126","422","0.844","24","0.32993739158792146","2.566350710900474","1.438388625592417"
"56","600","2","4","126","507","0.845","24","0.3675704350000051","2.603550295857988","1.4694280078895463"
"62","200","4","4","200","118","0.59","98","0.3672570702149107","2.542372881355932","1.9067796610169492"
"61","100","4","4","363","61","0.61","261","0.2832267302284106","2.819672131147541","1.8852459016393444"
"63","300","4","4","253","165","0.55","151","0.36805772738014075","2.56969696969697","1.8545454545454545"
"57","700","2","4","224","591","0.8442857142857143","122","0.4339299767401341","2.5617597292724197","1.4991539763113366"
"64","400","4","4","354","227","0.5675","252","0.3887134592225896","2.7268722466960353","1.8105726872246697"
"68","800","4","4","282","359","0.44875","180","0.34686565101602884","2.598885793871866","1.426183844011142"
"65","500","4","4","439","257","0.514","337","0.4070829820658271","2.6342412451361867","1.7392996108949417"
"66","600","4","4","419","295","0.49166666666666664","317","0.3497466245412897","2.5322033898305083","1.5593220338983051"
"71","100","6","4","141","42","0.42","39","0.3865532879818594","2.9285714285714284","2.357142857142857"
"67","700","4","4","400","302","0.43142857142857144","298","0.364345955400294","2.665562913907285","1.5397350993377483"
"69","900","4","4","314","375","0.4166666666666667","212","0.357904618018835","2.490666666666667","1.4586666666666666"
"73","300","6","4","189","110","0.36666666666666664","87","0.35967065066265286","2.4272727272727272","1.9454545454545455"
"72","200","6","4","316","67","0.335","214","0.30590019203257207","2.8507462686567164","1.9253731343283582"
"70","1000","4","4","224","416","0.416","122","0.36716966719024174","2.53125","1.4591346153846154"
"75","500","6","4","292","178","0.356","190","0.36717059305564653","2.7191011235955056","1.8426966292134832"
"74","400","6","4","389","168","0.42","287","0.34614412582435095","2.7857142857142856","1.7380952380952381"
"60","1000","2","4","512","733","0.733","410","0.45721290498554423","2.713506139154161","1.398362892223738"
"76","600","6","4","274","206","0.3433333333333333","172","0.35229560530014364","2.4902912621359223","1.7766990291262137"
"81","100","8","4","124","30","0.3","22","0.4289483463396507","2.2333333333333334","1.9"
"77","700","6","4","288","243","0.34714285714285714","186","0.3583563813161871","2.646090534979424","1.6707818930041152"
"82","200","8","4","224","60","0.3","122","0.32954583428267625","2.6333333333333333","1.9833333333333334"
"58","800","2","4","764","645","0.80625","662","0.45825899082661764","2.635658914728682","1.4542635658914729"
"84","400","8","4","208","98","0.245","106","0.41145484248523895","2.5918367346938775","1.9591836734693877"
"78","800","6","4","396","260","0.325","294","0.36171102907925023","2.8038461538461537","1.65"
"83","300","8","4","272","94","0.31333333333333335","170","0.33999545537678805","2.6808510638297873","1.8617021276595744"
"86","600","8","4","147","168","0.28","45","0.3753651383177844","2.6785714285714284","1.7976190476190477"
"85","500","8","4","251","143","0.286","149","0.38156384759838874","2.7202797202797204","1.937062937062937"
"88","800","8","4","201","205","0.25625","99","0.33090913524431553","2.6926829268292685","1.7073170731707317"
"91","100","10","4","157","25","0.25","55","0.327876260928043","2.72","1.92"
"79","900","6","4","504","270","0.3","402","0.36154777481660394","2.714814814814815","1.6481481481481481"
"92","200","10","4","122","55","0.275","20","0.40320877260767957","2.7636363636363637","2.1818181818181817"
"87","700","8","4","260","198","0.28285714285714286","158","0.3729459207901621","2.7373737373737375","1.7525252525252526"
"80","1000","6","4","414","315","0.315","312","0.34491078934181996","2.549206349206349","1.5142857142857142"
"94","400","10","4","219","83","0.2075","117","0.3638504568364818","2.746987951807229","1.9759036144578312"
"93","300","10","4","313","74","0.24666666666666667","211","0.3165938072990583","2.689189189189189","2.081081081081081"
"95","500","10","4","231","115","0.23","129","0.35261203033959254","2.5304347826086957","1.982608695652174"
"89","900","8","4","405","220","0.24444444444444444","303","0.3709545992873067","2.6954545454545453","1.7772727272727273"
"96","600","10","4","180","134","0.22333333333333333","78","0.34837635846244996","2.5671641791044775","1.8582089552238805"
"97","700","10","4","248","156","0.22285714285714286","146","0.36104279941337314","2.5","1.7564102564102564"
"101","100","2","6","126","89","0.89","24","0.23817956632290113","3.4831460674157304","1.5168539325842696"
"98","800","10","4","244","159","0.19875","142","0.3754657785834488","2.6289308176100628","1.849056603773585"
"102","200","2","6","126","176","0.88","24","0.2514455389887426","3.4943181818181817","1.4318181818181819"
"90","1000","8","4","498","233","0.233","396","0.36960829659974653","2.7510729613733904","1.738197424892704"
"100","1000","10","4","247","201","0.201","145","0.38130868443510907","2.781094527363184","1.800995024875622"
"103","300","2","6","126","279","0.93","24","0.26742614774547463","3.6164874551971327","1.4157706093189963"
"104","400","2","6","126","363","0.9075","24","0.3136241902726286","3.600550964187328","1.5151515151515151"
"105","500","2","6","126","445","0.89","24","0.33852207899439113","3.512359550561798","1.4404494382022472"
"99","900","10","4","432","187","0.20777777777777778","330","0.37476869093569964","2.7058823529411766","1.8288770053475936"
"106","600","2","6","126","541","0.9016666666666666","24","0.366140849219619","3.6506469500924212","1.44547134935305"
"112","200","4","6","163","126","0.63","61","0.37313394506461756","3.6825396825396823","1.9603174603174602"
"107","700","2","6","163","625","0.8928571428571429","61","0.4275426901092541","3.6496","1.488"
"59","900","2","4","626","694","0.7711111111111111","524","0.4296662912374458","2.7060518731988474","1.4034582132564841"
"111","100","4","6","349","63","0.63","247","0.26373085745994157","3.6984126984126986","1.8888888888888888"
"113","300","4","6","213","179","0.5966666666666667","111","0.398022076310928","3.877094972067039","1.9553072625698324"
"114","400","4","6","352","222","0.555","250","0.35669797303752343","3.7882882882882885","1.8018018018018018"
"115","500","4","6","335","270","0.54","233","0.37238058214192377","3.814814814814815","1.6962962962962962"
"117","700","4","6","281","315","0.45","179","0.31931494145116346","3.7777777777777777","1.5142857142857142"
"121","100","6","6","286","56","0.56","184","0.37360113364250847","3.5","2.1785714285714284"
"118","800","4","6","363","341","0.42625","261","0.3158578804338699","3.7536656891495603","1.5043988269794721"
"120","1000","4","6","165","414","0.414","63","0.33466139591828253","3.6449275362318843","1.4806763285024154"
"119","900","4","6","196","385","0.42777777777777776","94","0.33715553910328266","3.5194805194805197","1.4493506493506494"
"122","200","6","6","218","91","0.455","116","0.3075032436303135","3.6043956043956045","1.7692307692307692"
"123","300","6","6","246","122","0.4066666666666667","144","0.35518078336456027","3.5901639344262297","1.9262295081967213"
"116","600","4","6","355","297","0.495","253","0.3249978719686138","3.65993265993266","1.5387205387205387"
"124","400","6","6","193","166","0.415","91","0.3604269659671098","3.8734939759036147","1.8674698795180722"
"125","500","6","6","241","182","0.364","139","0.3751628196333401","3.7472527472527473","1.8516483516483517"
"126","600","6","6","356","239","0.3983333333333333","254","0.4190357876406385","3.702928870292887","1.8702928870292888"
"131","100","8","6","160","36","0.36","58","0.39308579936720633","3.9444444444444446","2.2777777777777777"
"129","900","6","6","247","288","0.32","145","0.32120998390067956","3.8125","1.5555555555555556"
"127","700","6","6","360","241","0.3442857142857143","258","0.3902136769118716","3.87551867219917","1.7593360995850622"
"108","800","2","6","699","653","0.81625","597","0.4235602660216842","3.8499234303215926","1.4226646248085757"
"132","200","8","6","224","61","0.305","122","0.3231424529334576","3.540983606557377","1.9344262295081966"
"133","300","8","6","197","90","0.3","95","0.3427001747756463","3.8","2.011111111111111"
"134","400","8","6","166","120","0.3","64","0.3430322847980396","3.5833333333333335","1.9"
"135","500","8","6","151","156","0.312","49","0.3643186365194391","3.8653846153846154","1.814102564102564"
"110","1000","2","6","599","742","0.742","497","0.4276284813770541","3.950134770889488","1.3840970350404314"
"130","1000","6","6","403","295","0.295","301","0.30431992722794715","3.6576271186440676","1.4779661016949153"
"141","100","10","6","126","22","0.22","24","0.39805462027684246","3.727272727272727","2.090909090909091"
"136","600","8","6","265","187","0.31166666666666665","163","0.39237173241629325","3.962566844919786","1.9251336898395721"
"137","700","8","6","260","216","0.30857142857142855","158","0.3714008891937298","4.00462962962963","1.8472222222222223"
"109","900","2","6","656","717","0.7966666666666666","554","0.430069262976488","3.899581589958159","1.401673640167364"
"128","800","6","6","378","260","0.325","276","0.34401348753400574","3.7884615384615383","1.623076923076923"
"143","300","10","6","184","80","0.26666666666666666","82","0.34011008522727276","3.9","2.0375"
"142","200","10","6","260","56","0.28","158","0.3667562123271941","3.6785714285714284","2.0535714285714284"
