"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2 Constant Growback_edit.nlogo"
"sugar_endowment"
"02/13/2024 12:51:40:559 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","minimum-sugar-endowment","maximum-sugar-endowment","[step]","count turtles","survival-rate","last-death","gini-index","mean [vision] of turtles","mean [metabolism] of turtles","endowment-error"
"22","10","30","199","382","0.42444444444444446","97","0.329694957987328","3.725130890052356","1.4607329842931938","0"
"26","30","30","0","382","0.42444444444444446","97","0.329694957987328","3.725130890052356","1.4607329842931938","true"
"27","35","30","0","382","0.42444444444444446","97","0.329694957987328","3.725130890052356","1.4607329842931938","true"
"28","40","30","0","382","0.42444444444444446","97","0.329694957987328","3.725130890052356","1.4607329842931938","true"
"29","45","30","0","382","0.42444444444444446","97","0.329694957987328","3.725130890052356","1.4607329842931938","true"
"30","50","30","0","382","0.42444444444444446","97","0.329694957987328","3.725130890052356","1.4607329842931938","true"
"1","5","10","149","422","0.4688888888888889","47","0.35845389998272903","3.646919431279621","1.4691943127962086","0"
"12","10","20","153","416","0.4622222222222222","51","0.3505943045582312","3.59375","1.4903846153846154","0"
"13","15","20","166","411","0.45666666666666667","64","0.34920096331675593","3.708029197080292","1.4793187347931873","0"
"11","5","20","179","402","0.44666666666666666","77","0.34542217780312373","3.611940298507463","1.4502487562189055","0"
"24","20","30","174","401","0.44555555555555554","72","0.3174062249610626","3.6209476309226933","1.4513715710723192","0"
"25","25","30","208","388","0.4311111111111111","106","0.3251014058756459","3.6572164948453607","1.4742268041237114","0"
"31","5","40","213","379","0.4211111111111111","111","0.31506711080504585","3.5963060686015833","1.4722955145118735","0"
"38","40","40","0","379","0.4211111111111111","111","0.31506711080504585","3.5963060686015833","1.4722955145118735","true"
"39","45","40","0","379","0.4211111111111111","111","0.31506711080504585","3.5963060686015833","1.4722955145118735","true"
"40","50","40","0","379","0.4211111111111111","111","0.31506711080504585","3.5963060686015833","1.4722955145118735","true"
"23","15","30","231","415","0.46111111111111114","129","0.3515721092065616","3.648192771084337","1.5301204819277108","0"
"37","35","40","192","392","0.43555555555555553","90","0.30373082746530994","3.7066326530612246","1.4566326530612246","0"
"41","5","50","240","383","0.4255555555555556","138","0.3177069114985355","3.4673629242819843","1.4595300261096606","0"
"34","20","40","231","380","0.4222222222222222","129","0.31259146430834395","3.6657894736842107","1.4394736842105262","0"
"32","10","40","281","399","0.44333333333333336","179","0.3346137406658431","3.6766917293233083","1.4385964912280702","0"
"35","25","40","258","375","0.4166666666666667","156","0.3228415970920656","3.6693333333333333","1.496","0"
"33","15","40","277","401","0.44555555555555554","175","0.36400001734458226","3.678304239401496","1.4937655860349128","0"
"42","10","50","208","425","0.4722222222222222","106","0.3519579996612878","3.764705882352941","1.4752941176470589","0"
"36","30","40","276","400","0.4444444444444444","174","0.3304693705943392","3.545","1.45","0"
"50","50","50","0","400","0.4444444444444444","174","0.3304693705943392","3.545","1.45","true"
"43","15","50","233","410","0.45555555555555555","131","0.31575433083888055","3.578048780487805","1.446341463414634","0"
"44","20","50","196","415","0.46111111111111114","94","0.31508325462796344","3.6771084337349396","1.453012048192771","0"
"45","25","50","195","423","0.47","93","0.31417935876862374","3.57919621749409","1.475177304964539","0"
"46","30","50","208","407","0.45222222222222225","106","0.3107585431456487","3.555282555282555","1.452088452088452","0"
"48","40","50","200","412","0.4577777777777778","98","0.304531337737532","3.657766990291262","1.4878640776699028","0"
"47","35","50","214","416","0.4622222222222222","112","0.3091866717537137","3.6298076923076925","1.4471153846153846","0"
"52","10","60","250","414","0.46","148","0.34204458279763883","3.4927536231884058","1.5","0"
"53","15","60","229","387","0.43","127","0.3088379252237057","3.6770025839793283","1.4573643410852712","0"
"49","45","50","255","387","0.43","153","0.3091362171991447","3.55297157622739","1.4082687338501292","0"
"51","5","60","238","405","0.45","136","0.3307357780032732","3.6938271604938273","1.4790123456790123","0"
"54","20","60","260","384","0.4266666666666667","158","0.3266483694783927","3.5104166666666665","1.4348958333333333","0"
"58","40","60","260","412","0.4577777777777778","158","0.3227359613610818","3.7014563106796117","1.424757281553398","0"
"59","45","60","253","401","0.44555555555555554","151","0.3149567227709212","3.4763092269326683","1.4688279301745637","0"
"55","25","60","207","422","0.4688888888888889","105","0.32324659236602693","3.625592417061611","1.4834123222748816","0"
"57","35","60","268","370","0.4111111111111111","166","0.2983253217401105","3.5891891891891894","1.4351351351351351","0"
"56","30","60","261","403","0.4477777777777778","159","0.31491044764169435","3.759305210918114","1.478908188585608","0"
"60","50","60","229","387","0.43","127","0.294088640841949","3.6382428940568476","1.4702842377260983","0"
"61","5","70","296","407","0.45222222222222225","194","0.3398909047482163","3.6486486486486487","1.479115479115479","0"
"64","20","70","270","381","0.42333333333333334","168","0.31396383774378017","3.690288713910761","1.4593175853018372","0"
"63","15","70","296","392","0.43555555555555553","194","0.3116588919813986","3.614795918367347","1.4464285714285714","0"
"62","10","70","311","410","0.45555555555555555","209","0.3415881568082275","3.5707317073170732","1.4414634146341463","0"
"66","30","70","259","396","0.44","157","0.3093125222335763","3.707070707070707","1.4671717171717171","0"
"68","40","70","240","430","0.4777777777777778","138","0.31543251137624234","3.5767441860465117","1.4511627906976745","0"
"67","35","70","277","382","0.42444444444444446","175","0.31453674838448614","3.657068062827225","1.5104712041884816","0"
"65","25","70","274","404","0.4488888888888889","172","0.319208460846085","3.6014851485148514","1.4876237623762376","0"
